id,year,rank,average,bayes_average,users_rated,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,owned,trading,wanting,wishing
30549,2008,106,7.59,7.487,108975,2008,2,4,45,45,45,8,168364,2508,625,9344
822,2000,190,7.42,7.309,108738,2000,2,5,45,30,45,7,161299,1716,582,7383
13,1995,429,7.14,6.97,108024,1995,3,4,120,60,120,10,167733,2018,485,5890
68448,2010,73,7.74,7.634,89982,2010,2,7,30,30,30,10,120466,1567,1010,12105
36218,2008,104,7.61,7.499,81561,2008,2,4,30,30,30,13,106956,2009,655,8621
9209,2004,192,7.41,7.305,76171,2004,2,5,60,30,60,8,105748,930,692,6620
178900,2015,101,7.6,7.508,74419,2015,2,8,15,15,15,14,119753,1110,340,5764
167791,2016,4,8.42,8.274,74216,2016,1,5,120,120,120,12,101872,538,2011,19227
173346,2015,16,8.11,7.984,69472,2015,2,2,30,30,30,10,111275,683,924,8836
31260,2007,36,7.93,7.809,66093,2007,1,5,150,30,150,12,78591,1300,1150,11122
3076,2002,31,7.97,7.838,65443,2002,3,5,150,90,150,12,76019,1374,983,9383
148228,2014,183,7.44,7.324,64698,2014,2,4,30,30,30,10,92366,851,786,8337
169786,2016,14,8.22,8.064,64569,2016,1,5,115,90,115,14,86371,623,1896,19325
40692,2009,280,7.25,7.153,64559,2009,2,5,80,40,80,8,86452,2085,931,9486
14996,2005,131,7.54,7.424,63264,2005,2,5,60,30,60,8,92203,709,692,5937
230802,2017,58,7.8,7.686,62802,2017,2,4,45,30,45,8,95533,518,1064,10896
70323,2011,345,7.17,7.073,61099,2011,2,6,30,30,30,8,88090,1345,688,6990
129622,2012,293,7.23,7.141,59467,2012,2,4,20,20,20,10,98395,1196,257,3649
2651,2004,48,7.84,7.738,58602,2004,2,6,120,120,120,12,70142,991,1376,10619
266192,2019,23,8.1,7.944,56079,2019,1,5,70,40,70,10,83920,310,1530,14211
39856,2008,298,7.24,7.133,54497,2008,3,6,30,30,30,8,76535,933,437,5606
163412,2014,94,7.64,7.535,52190,2014,2,2,30,15,30,8,78730,500,791,7041
84876,2011,15,8.13,8.008,50549,2011,2,4,90,30,90,12,67282,737,1137,10205
478,2000,427,7.08,6.97,50181,2000,2,8,60,20,60,10,67271,1543,336,3249
28143,2007,68,7.76,7.651,48906,2007,2,4,60,30,60,12,59758,1108,1118,9374
110327,2012,76,7.75,7.619,48655,2012,2,5,120,60,120,12,60079,644,1237,9586
174430,2017,1,8.74,8.511,47827,2017,1,4,120,60,120,14,77758,648,1346,17658
34635,2008,125,7.55,7.44,47245,2008,2,4,90,60,90,10,50290,530,1585,9976
161936,2015,2,8.59,8.442,45041,2015,2,4,60,60,60,13,70830,327,831,11729
65244,2010,773,6.78,6.688,44513,2010,2,4,30,30,30,10,77814,2112,238,4035
1927,2001,4796,5.89,5.717,43750,2001,3,6,120,60,120,10,78849,2506,128,1799
12333,2005,13,8.28,8.113,43052,2005,2,2,180,120,180,13,59604,919,1334,10933
120677,2012,18,8.12,7.966,41806,2012,2,5,150,60,150,12,45604,622,1682,12929
98778,2010,425,7.07,6.975,41572,2010,2,5,25,25,25,8,68643,1379,283,3527
150376,2014,142,7.54,7.392,41398,2014,2,5,120,60,120,13,56649,1331,803,8852
54043,2009,145,7.5,7.391,41188,2009,2,2,30,30,30,12,61710,459,896,6493
11,1997,473,7.04,6.935,40098,1997,2,7,45,45,45,13,60282,1025,366,2712
10547,2004,551,7.06,6.848,39644,2004,3,6,60,60,60,12,64751,1349,513,6125
50,1999,324,7.19,7.091,39514,1999,2,2,30,30,30,10,55282,936,511,4570
131357,2012,534,7,6.87,38741,2012,2,6,15,15,15,13,64873,1237,238,3338
147020,2014,124,7.58,7.441,38561,2014,2,2,20,20,20,12,56427,781,316,3921
133473,2013,481,7.04,6.929,38011,2013,2,5,15,15,15,8,65495,964,171,2330
70919,2011,301,7.26,7.131,37998,2011,2,4,45,45,45,8,58295,674,796,7119
170216,2015,35,7.99,7.818,37561,2015,2,4,90,60,90,14,45286,336,1550,11392
15987,2005,366,7.25,7.051,37547,2005,1,8,240,120,240,14,49815,1623,451,4850
41114,2009,297,7.27,7.134,37359,2009,5,10,30,30,30,13,57974,1515,262,3638
121921,2012,69,7.82,7.649,37098,2012,1,4,120,60,120,14,58160,1210,1335,11522
204583,2016,234,7.35,7.228,36921,2016,2,4,15,15,15,8,61775,735,381,3788
181304,2015,290,7.28,7.146,35241,2015,2,7,42,42,42,10,55040,847,639,7023
183394,2015,25,8.06,7.895,34760,2015,1,6,90,45,90,13,47547,263,1532,10102
157354,2014,74,7.78,7.631,34577,2014,2,4,80,40,80,13,45028,423,1369,9985
463,1993,155,7.54,7.37,34393,1993,2,2,20,20,20,13,37698,833,222,681
37111,2008,85,7.74,7.565,33961,2008,3,6,180,120,180,14,36726,725,830,6244
126163,2012,47,7.89,7.741,33207,2012,2,4,90,90,90,13,38749,308,1453,8303
205637,2016,24,8.16,7.927,33046,2016,1,2,120,60,120,14,59731,806,780,8566
193738,2016,12,8.29,8.123,32960,2016,2,4,150,75,150,12,39730,361,1568,10618
162886,2017,11,8.36,8.133,32199,2017,1,4,120,90,120,13,47538,353,1929,16125
201808,2016,70,7.82,7.648,31984,2016,2,4,60,30,60,12,42118,364,1217,9444
2655,2000,260,7.32,7.188,31719,2000,2,2,20,20,20,9,42228,559,610,4876
181,1959,20905,5.59,5.462,31717,1959,2,6,120,120,120,10,50362,1061,34,615
237182,2018,26,8.1,7.885,31553,2018,2,4,90,60,90,10,48756,300,1690,14729
124361,2013,19,8.12,7.966,31519,2013,2,5,100,100,100,13,36532,246,1629,9250
194655,2016,198,7.44,7.297,31502,2016,2,4,20,20,20,8,51083,846,643,7194
146021,2013,90,7.78,7.551,31482,2013,1,8,240,120,240,14,46708,710,728,7886
157969,2014,406,7.12,6.999,31463,2014,3,5,60,60,60,14,47520,1039,584,6009
40834,2009,88,7.71,7.554,31220,2009,2,6,30,30,30,13,45243,614,438,3081
31481,2007,212,7.39,7.267,30960,2007,2,4,60,60,60,10,34506,710,1131,6575
171,1475,430,7.15,6.968,30810,1475,2,2,0,0,0,6,43531,192,30,334
1406,1933,21824,4.37,4.304,30803,1933,2,8,180,60,180,8,43316,521,34,400
199561,2017,158,7.51,7.365,30298,2017,1,4,45,30,45,14,47581,444,849,6425
103343,2011,154,7.58,7.373,30262,2011,3,6,240,120,240,14,41349,1158,506,5106
